LIMITS	0	50000	-300
PLATFORM	Platforms/platform00-500x100-top.png	13250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	13750	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	14250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	18750	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	19250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	19750	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	20250	1550	game
PLATFORM	Platforms/platform00-500x100-top.png	20750	1550	game
PLATFORM	Platforms/platform00-500x500-top.png	38750	1750	game
PLATFORM	Platforms/platform00-500x500-fill.png	39250	1750	game
PLATFORM	Platforms/platform00-500x500-fill.png	39750	1750	game
PLATFORM	Platforms/platform00-500x500-fill.png	40250	1750	game
PLATFORM	Platforms/platform00-500x500-top.png	2250	1250	game
PLATFORM	Platforms/platform00-500x500-fill.png	2750	1250	game
PLATFORM	Platforms/platform00-500x500-top.png	38250	1250	game
PLATFORM	Platforms/platform00-500x500-fill.png	38750	1250	game
PLATFORM	Platforms/platform00-500x500-fill.png	39250	1250	game
PLATFORM	Platforms/platform00-500x500-fill.png	39750	1250	game
PLATFORM	Platforms/platform00-500x500-fill.png	40250	1250	game
INIT_POS	80	655	game
PLATFORM	Platforms/platform00-500x500-top.png	1750	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	2250	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	2750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	3750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	5250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	6750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	8250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	9750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	11250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	12750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	14250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	15750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	17250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	18750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	20250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	21750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	23250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	24750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	26250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	27750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	29250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	30750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	32250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	33750	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	35250	750	game
ENEMY_STATIC	Enemies/seaUrchin.png	36750	750	game
PLATFORM	Platforms/platform00-500x500-top.png	37750	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	38250	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	38750	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	39250	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	39750	750	game
PLATFORM	Platforms/platform00-500x500-fill.png	40250	750	game
PLATFORM	Platforms/platform00-500x500-top.png	40750	750	game
ENEMY_PATROL	Enemies/Crab.props	42055	550	game
ENEMY_PATROL	Enemies/Crab.props	44555	550	game
END	end.png	48250	750	game
PLATFORM	Platforms/platform00-500x500-top.png	250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	1250	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	1750	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	2250	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	2750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	3250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	3750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	4250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	4750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	5250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	5750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	6250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	6750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	7250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	7750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	8250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	8750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	9250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	9750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	10250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	10750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	11250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	11750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	12250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	12750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	13250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	13750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	14250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	14750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	15250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	15750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	16250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	16750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	17250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	17750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	18250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	18750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	19250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	19750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	20250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	20750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	21250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	21750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	22250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	22750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	23250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	23750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	24250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	24750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	25250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	25750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	26250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	26750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	27250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	27750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	28250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	28750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	29250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	29750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	30250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	30750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	31250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	31750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	32250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	32750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	33250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	33750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	34250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	34750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	35250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	35750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	36250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	36750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	37250	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	37750	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	38250	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	38750	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	39250	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	39750	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	40250	250	game
PLATFORM	Platforms/platform00-500x500-fill.png	40750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	41250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	41750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	42250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	42750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	43250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	43750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	44250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	44750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	45250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	45750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	46250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	46750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	47250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	47750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	48250	250	game
PLATFORM	Platforms/platform00-500x500-top.png	48750	250	game
PLATFORM	Platforms/platform00-500x500-top.png	49250	250	game
